   integer_node_x          Max_Ne          Max_Ni          Max_Te     half_node_x      Max_E(id2)       Max_J0/mA
   0.1200000E-02  0.1023316E+09  0.1993152E+11  0.1825692E+01  0.1800000E-02 -0.1786008E+04  0.2186055E+02
   0.2400000E-02  0.1047265E+09  0.2065082E+11  0.2433506E+01  0.3000000E-02 -0.1741650E+04  0.2186055E+02
   0.3600000E-02  0.1071777E+09  0.2109838E+11  0.2738393E+01  0.4200000E-02 -0.1696327E+04  0.2186055E+02
   0.4800000E-02  0.1097040E+09  0.2151454E+11  0.2853677E+01  0.5400000E-02 -0.1650106E+04  0.2186055E+02
   0.6000000E-02  0.1123351E+09  0.2193817E+11  0.2884546E+01  0.6600000E-02 -0.1602972E+04  0.2186055E+02
   0.7200000E-02  0.1151128E+09  0.2237425E+11  0.2881977E+01  0.7800000E-02 -0.1554898E+04  0.2186055E+02
   0.8400000E-02  0.1180951E+09  0.2282339E+11  0.2866308E+01  0.9000000E-02 -0.1505856E+04  0.2186055E+02
   0.9600000E-02  0.1213569E+09  0.2328562E+11  0.2845106E+01  0.1020000E-01 -0.1455818E+04  0.2186055E+02
   0.1080000E-01  0.1249861E+09  0.2376090E+11  0.2821118E+01  0.1140000E-01 -0.1404757E+04  0.2186055E+02
   0.1200000E-01  0.1290707E+09  0.2424906E+11  0.2795386E+01  0.1260000E-01 -0.1352646E+04  0.2186055E+02
   0.1320000E-01  0.1336805E+09  0.2474992E+11  0.2768419E+01  0.1380000E-01 -0.1299458E+04  0.2186055E+02
   0.1440000E-01  0.1388483E+09  0.2526318E+11  0.2740596E+01  0.1500000E-01 -0.1245168E+04  0.2186055E+02
   0.1560000E-01  0.1445581E+09  0.2578852E+11  0.2712264E+01  0.1620000E-01 -0.1189751E+04  0.2186055E+02
   0.1680000E-01  0.1507476E+09  0.2632554E+11  0.2683698E+01  0.1740000E-01 -0.1133182E+04  0.2186055E+02
   0.1800000E-01  0.1573252E+09  0.2687378E+11  0.2655037E+01  0.1860000E-01 -0.1075438E+04  0.2186055E+02
   0.1920000E-01  0.1641981E+09  0.2743274E+11  0.2626248E+01  0.1980000E-01 -0.1016496E+04  0.2186055E+02
   0.2040000E-01  0.1713002E+09  0.2800187E+11  0.2597150E+01  0.2100000E-01 -0.9563345E+03  0.2186055E+02
   0.2160000E-01  0.1786115E+09  0.2858059E+11  0.2567482E+01  0.2220000E-01 -0.8949336E+03  0.2186055E+02
   0.2280000E-01  0.1861648E+09  0.2916829E+11  0.2536983E+01  0.2340000E-01 -0.8322741E+03  0.2186055E+02
   0.2400000E-01  0.1940394E+09  0.2976436E+11  0.2505469E+01  0.2460000E-01 -0.7683385E+03  0.2186055E+02
   0.2520000E-01  0.2023480E+09  0.3036820E+11  0.2472871E+01  0.2580000E-01 -0.7031109E+03  0.2186055E+02
   0.2640000E-01  0.2112232E+09  0.3097920E+11  0.2439245E+01  0.2700000E-01 -0.6365770E+03  0.2186055E+02
   0.2760000E-01  0.2208076E+09  0.3159682E+11  0.2404765E+01  0.2820000E-01 -0.5687240E+03  0.2186055E+02
   0.2880000E-01  0.2312506E+09  0.3222052E+11  0.2369717E+01  0.2940000E-01 -0.4995405E+03  0.2186055E+02
   0.3000000E-01  0.2427100E+09  0.3284987E+11  0.2334502E+01  0.3060000E-01 -0.4290165E+03  0.2186055E+02
   0.3120000E-01  0.2553593E+09  0.3348450E+11  0.2299668E+01  0.3180000E-01 -0.3571431E+03  0.2186055E+02
   0.3240000E-01  0.2693990E+09  0.3412415E+11  0.2265992E+01  0.3300000E-01 -0.2839124E+03  0.2186055E+02
   0.3360000E-01  0.2850752E+09  0.3476868E+11  0.2234663E+01  0.3420000E-01 -0.2093175E+03  0.2186055E+02
   0.3480000E-01  0.3027207E+09  0.3541809E+11  0.2207647E+01  0.3540000E-01 -0.1333520E+03  0.2186055E+02
   0.3600000E-01  0.3228520E+09  0.3607260E+11  0.2188393E+01  0.3660000E-01 -0.5601014E+02  0.2186055E+02
   0.3720000E-01  0.3464180E+09  0.3673263E+11  0.2182911E+01  0.3780000E-01  0.2271248E+02  0.2186055E+02
   0.3840000E-01  0.3754070E+09  0.3739890E+11  0.2200740E+01  0.3900000E-01  0.1028177E+03  0.2186055E+02
   0.3960000E-01  0.4142303E+09  0.3807230E+11  0.2253954E+01  0.4020000E-01  0.1842996E+03  0.2186055E+02
   0.4080000E-01  0.4725879E+09  0.3875400E+11  0.2350903E+01  0.4140000E-01  0.2671338E+03  0.2186055E+02
   0.4200000E-01  0.5707530E+09  0.3944558E+11  0.2484233E+01  0.4260000E-01  0.3512555E+03  0.2186055E+02
   0.4320000E-01  0.7479964E+09  0.4014911E+11  0.2625206E+01  0.4380000E-01  0.4365189E+03  0.2186055E+02
