   integer_node_x          Max_Ne          Max_Ni          Max_Te     half_node_x      Max_E(id2)       Max_J0/mA
   0.1200000E-02  0.1027412E+09  0.3172559E+11  0.2210440E+01  0.1800000E-02 -0.2720803E+04  0.2994174E+02
   0.2400000E-02  0.1055971E+09  0.3238006E+11  0.2924362E+01  0.3000000E-02 -0.2651001E+04  0.2994174E+02
   0.3600000E-02  0.1085753E+09  0.3293085E+11  0.3189640E+01  0.4200000E-02 -0.2580010E+04  0.2994174E+02
   0.4800000E-02  0.1116913E+09  0.3347776E+11  0.3260322E+01  0.5400000E-02 -0.2507840E+04  0.2994174E+02
   0.6000000E-02  0.1149634E+09  0.3403506E+11  0.3263674E+01  0.6600000E-02 -0.2434468E+04  0.2994174E+02
   0.7200000E-02  0.1184125E+09  0.3460459E+11  0.3244863E+01  0.7800000E-02 -0.2359867E+04  0.2994174E+02
   0.8400000E-02  0.1220640E+09  0.3518670E+11  0.3218455E+01  0.9000000E-02 -0.2284012E+04  0.2994174E+02
   0.9600000E-02  0.1259508E+09  0.3578148E+11  0.3188989E+01  0.1020000E-01 -0.2206874E+04  0.2994174E+02
   0.1080000E-01  0.1301200E+09  0.3638885E+11  0.3157818E+01  0.1140000E-01 -0.2128428E+04  0.2994174E+02
   0.1200000E-01  0.1346421E+09  0.3700863E+11  0.3125255E+01  0.1260000E-01 -0.2048647E+04  0.2994174E+02
   0.1320000E-01  0.1396232E+09  0.3764050E+11  0.3091258E+01  0.1380000E-01 -0.1967506E+04  0.2994174E+02
   0.1440000E-01  0.1452143E+09  0.3828407E+11  0.3055660E+01  0.1500000E-01 -0.1884981E+04  0.2994174E+02
   0.1560000E-01  0.1516125E+09  0.3893883E+11  0.3018302E+01  0.1620000E-01 -0.1801050E+04  0.2994174E+02
   0.1680000E-01  0.1590452E+09  0.3960421E+11  0.2979139E+01  0.1740000E-01 -0.1715691E+04  0.2994174E+02
   0.1800000E-01  0.1677341E+09  0.4027957E+11  0.2938331E+01  0.1860000E-01 -0.1628885E+04  0.2994174E+02
   0.1920000E-01  0.1778469E+09  0.4096421E+11  0.2896267E+01  0.1980000E-01 -0.1540617E+04  0.2994174E+02
   0.2040000E-01  0.1894522E+09  0.4165741E+11  0.2853474E+01  0.2100000E-01 -0.1450869E+04  0.2994174E+02
