   integer_node_x          Max_Ne          Max_Ni          Max_Te     half_node_x      Max_E(id2)       Max_J0/mA
   0.5880000E-01  0.4735567E+11  0.5507546E+11  0.2782676E+01  0.5940000E-01  0.1288305E+04  0.2302501E+02
   0.6000000E-01  0.5161981E+11  0.5649623E+11  0.2771450E+01  0.6060000E-01  0.1298667E+04  0.2302501E+02
   0.6120000E-01  0.5532085E+11  0.5796496E+11  0.2761418E+01  0.6180000E-01  0.1304186E+04  0.2302501E+02
   0.6240000E-01  0.5850934E+11  0.5945808E+11  0.2752432E+01  0.6300000E-01  0.1306028E+04  0.2302501E+02
   0.6360000E-01  0.6125319E+11  0.6095029E+11  0.2744342E+01  0.6420000E-01  0.1305154E+04  0.2302501E+02
   0.6480000E-01  0.6362383E+11  0.6241832E+11  0.2737011E+01  0.6540000E-01  0.1302321E+04  0.2302501E+02
   0.6600000E-01  0.6568824E+11  0.6384382E+11  0.2730311E+01  0.6660000E-01  0.1298103E+04  0.2302501E+02
   0.6720000E-01  0.6750536E+11  0.6521488E+11  0.2724127E+01  0.6780000E-01  0.1292917E+04  0.2302501E+02
   0.6840000E-01  0.6912495E+11  0.6652608E+11  0.2718361E+01  0.6900000E-01  0.1287062E+04  0.2302501E+02
   0.6960000E-01  0.7058785E+11  0.6777740E+11  0.2712927E+01  0.7020000E-01  0.1280747E+04  0.2302501E+02
   0.7080000E-01  0.7192683E+11  0.6897265E+11  0.2707752E+01  0.7140000E-01  0.1274121E+04  0.2302501E+02
   0.7200000E-01  0.7316776E+11  0.7011787E+11  0.2702780E+01  0.7260000E-01  0.1267288E+04  0.2302501E+02
   0.7320000E-01  0.7433067E+11  0.7121990E+11  0.2697967E+01  0.7380000E-01  0.1260322E+04  0.2302501E+02
   0.7440000E-01  0.7543087E+11  0.7228549E+11  0.2693281E+01  0.7500000E-01  0.1253281E+04  0.2302501E+02
   0.7560000E-01  0.7647981E+11  0.7332056E+11  0.2688698E+01  0.7620000E-01  0.1246210E+04  0.2302501E+02
   0.7680000E-01  0.7748594E+11  0.7433001E+11  0.2684205E+01  0.7740000E-01  0.1239147E+04  0.2302501E+02
   0.7800000E-01  0.7845535E+11  0.7531754E+11  0.2679795E+01  0.7860000E-01  0.1232122E+04  0.2302501E+02
   0.7920000E-01  0.7939230E+11  0.7628571E+11  0.2675463E+01  0.7980000E-01  0.1225166E+04  0.2302501E+02
   0.8040000E-01  0.8029970E+11  0.7723613E+11  0.2671213E+01  0.8100000E-01  0.1218302E+04  0.2302501E+02
   0.8160000E-01  0.8117940E+11  0.7816956E+11  0.2667047E+01  0.8220000E-01  0.1211555E+04  0.2302501E+02
   0.8280000E-01  0.8203251E+11  0.7908611E+11  0.2662970E+01  0.8340000E-01  0.1204946E+04  0.2302501E+02
   0.8400000E-01  0.8285958E+11  0.7998538E+11  0.2658989E+01  0.8460000E-01  0.1198494E+04  0.2302501E+02
   0.8520000E-01  0.8366079E+11  0.8086663E+11  0.2655111E+01  0.8580000E-01  0.1192215E+04  0.2302501E+02
   0.8640000E-01  0.8443602E+11  0.8172889E+11  0.2651343E+01  0.8700000E-01  0.1186125E+04  0.2302501E+02
   0.8760000E-01  0.8518499E+11  0.8257104E+11  0.2647690E+01  0.8820000E-01  0.1180237E+04  0.2302501E+02
   0.8880000E-01  0.8590729E+11  0.8339188E+11  0.2644159E+01  0.8940000E-01  0.1174563E+04  0.2302501E+02
   0.9000000E-01  0.8660247E+11  0.8419022E+11  0.2640756E+01  0.9060000E-01  0.1169113E+04  0.2302501E+02
   0.9120000E-01  0.8727000E+11  0.8496488E+11  0.2637485E+01  0.9180000E-01  0.1163895E+04  0.2302501E+02
