   integer_node_x          Max_Ne          Max_Ni          Max_Te     half_node_x      Max_E(id2)       Max_J0/mA
   0.1200000E-02  0.1022337E+09  0.1662900E+11  0.1707907E+01  0.1800000E-02 -0.1513783E+04  0.1953157E+02
   0.2400000E-02  0.1045211E+09  0.1739684E+11  0.2262457E+01  0.3000000E-02 -0.1476485E+04  0.1953157E+02
   0.3600000E-02  0.1068531E+09  0.1781746E+11  0.2574317E+01  0.4200000E-02 -0.1438279E+04  0.1953157E+02
   0.4800000E-02  0.1092583E+09  0.1818979E+11  0.2708001E+01  0.5400000E-02 -0.1399270E+04  0.1953157E+02
   0.6000000E-02  0.1117813E+09  0.1856636E+11  0.2752091E+01  0.6600000E-02 -0.1359450E+04  0.1953157E+02
   0.7200000E-02  0.1144798E+09  0.1895449E+11  0.2757352E+01  0.7800000E-02 -0.1318794E+04  0.1953157E+02
   0.8400000E-02  0.1174211E+09  0.1935512E+11  0.2746393E+01  0.9000000E-02 -0.1277275E+04  0.1953157E+02
   0.9600000E-02  0.1206740E+09  0.1976834E+11  0.2728449E+01  0.1020000E-01 -0.1234866E+04  0.1953157E+02
   0.1080000E-01  0.1242947E+09  0.2019406E+11  0.2707254E+01  0.1140000E-01 -0.1191542E+04  0.1953157E+02
   0.1200000E-01  0.1283123E+09  0.2063215E+11  0.2684413E+01  0.1260000E-01 -0.1147276E+04  0.1953157E+02
   0.1320000E-01  0.1327184E+09  0.2108242E+11  0.2660726E+01  0.1380000E-01 -0.1102043E+04  0.1953157E+02
   0.1440000E-01  0.1374678E+09  0.2154463E+11  0.2636644E+01  0.1500000E-01 -0.1055817E+04  0.1953157E+02
   0.1560000E-01  0.1424898E+09  0.2201849E+11  0.2612397E+01  0.1620000E-01 -0.1008574E+04  0.1953157E+02
   0.1680000E-01  0.1477093E+09  0.2250368E+11  0.2588029E+01  0.1740000E-01 -0.9602900E+03  0.1953157E+02
   0.1800000E-01  0.1530676E+09  0.2299982E+11  0.2563429E+01  0.1860000E-01 -0.9109411E+03  0.1953157E+02
   0.1920000E-01  0.1585389E+09  0.2350649E+11  0.2538392E+01  0.1980000E-01 -0.8605049E+03  0.1953157E+02
   0.2040000E-01  0.1641352E+09  0.2402326E+11  0.2512689E+01  0.2100000E-01 -0.8089596E+03  0.1953157E+02
   0.2160000E-01  0.1699031E+09  0.2454963E+11  0.2486134E+01  0.2220000E-01 -0.7562850E+03  0.1953157E+02
   0.2280000E-01  0.1759135E+09  0.2508513E+11  0.2458623E+01  0.2340000E-01 -0.7024616E+03  0.1953157E+02
   0.2400000E-01  0.1822506E+09  0.2562926E+11  0.2430147E+01  0.2460000E-01 -0.6474715E+03  0.1953157E+02
   0.2520000E-01  0.1890040E+09  0.2618152E+11  0.2400784E+01  0.2580000E-01 -0.5912979E+03  0.1953157E+02
   0.2640000E-01  0.1962643E+09  0.2674144E+11  0.2370684E+01  0.2700000E-01 -0.5339253E+03  0.1953157E+02
   0.2760000E-01  0.2041227E+09  0.2730857E+11  0.2340059E+01  0.2820000E-01 -0.4753394E+03  0.1953157E+02
   0.2880000E-01  0.2126746E+09  0.2788252E+11  0.2309188E+01  0.2940000E-01 -0.4155268E+03  0.1953157E+02
   0.3000000E-01  0.2220243E+09  0.2846296E+11  0.2278444E+01  0.3060000E-01 -0.3544753E+03  0.1953157E+02
   0.3120000E-01  0.2322934E+09  0.2904965E+11  0.2248352E+01  0.3180000E-01 -0.2921732E+03  0.1953157E+02
   0.3240000E-01  0.2436353E+09  0.2964244E+11  0.2219727E+01  0.3300000E-01 -0.2286097E+03  0.1953157E+02
   0.3360000E-01  0.2562680E+09  0.3024132E+11  0.2193951E+01  0.3420000E-01 -0.1637744E+03  0.1953157E+02
   0.3480000E-01  0.2705516E+09  0.3084644E+11  0.2173532E+01  0.3540000E-01 -0.9765719E+02  0.1953157E+02
   0.3600000E-01  0.2871750E+09  0.3145811E+11  0.2162997E+01  0.3660000E-01 -0.3024907E+02  0.1953157E+02
   0.3720000E-01  0.3075820E+09  0.3207690E+11  0.2169900E+01  0.3780000E-01  0.3845725E+02  0.1953157E+02
   0.3840000E-01  0.3348804E+09  0.3270362E+11  0.2204696E+01  0.3900000E-01  0.1084640E+03  0.1953157E+02
   0.3960000E-01  0.3756226E+09  0.3333929E+11  0.2276830E+01  0.4020000E-01  0.1797614E+03  0.1953157E+02
   0.4080000E-01  0.4429591E+09  0.3398521E+11  0.2385276E+01  0.4140000E-01  0.2523141E+03  0.1953157E+02
   0.4200000E-01  0.5615735E+09  0.3464311E+11  0.2510337E+01  0.4260000E-01  0.3260368E+03  0.1953157E+02
   0.4320000E-01  0.7742395E+09  0.3531513E+11  0.2622013E+01  0.4380000E-01  0.4007560E+03  0.1953157E+02
   0.4440000E-01  0.1148551E+10  0.3600392E+11  0.2701052E+01  0.4500000E-01  0.4761574E+03  0.1953157E+02
   0.4560000E-01  0.1780495E+10  0.3671270E+11  0.2746607E+01  0.4620000E-01  0.5517256E+03  0.1953157E+02
   0.4680000E-01  0.2790008E+10  0.3744527E+11  0.2767331E+01  0.4740000E-01  0.6266929E+03  0.1953157E+02
   0.4800000E-01  0.4304233E+10  0.3820605E+11  0.2772379E+01  0.4860000E-01  0.7000257E+03  0.1953157E+02
   0.4920000E-01  0.6428494E+10  0.3899994E+11  0.2768348E+01  0.4980000E-01  0.7704722E+03  0.1953157E+02
   0.5040000E-01  0.9212302E+10  0.3983202E+11  0.2759409E+01  0.5100000E-01  0.8366845E+03  0.1953157E+02
