   integer_node_x          Max_Ne          Max_Ni          Max_Te     half_node_x      Max_E(id2)       Max_J0/mA
   0.1200000E-02  0.1033336E+09  0.4367829E+11  0.2500841E+01  0.1800000E-02 -0.3525767E+04  0.3704277E+02
   0.2400000E-02  0.1068358E+09  0.4439289E+11  0.3255399E+01  0.3000000E-02 -0.3429906E+04  0.3704277E+02
   0.3600000E-02  0.1105232E+09  0.4506512E+11  0.3493521E+01  0.4200000E-02 -0.3332594E+04  0.3704277E+02
   0.4800000E-02  0.1144169E+09  0.4573772E+11  0.3542116E+01  0.5400000E-02 -0.3233832E+04  0.3704277E+02
   0.6000000E-02  0.1185410E+09  0.4641664E+11  0.3531830E+01  0.6600000E-02 -0.3133606E+04  0.3704277E+02
   0.7200000E-02  0.1229230E+09  0.4710265E+11  0.3503568E+01  0.7800000E-02 -0.3031901E+04  0.3704277E+02
   0.8400000E-02  0.1275942E+09  0.4779579E+11  0.3469347E+01  0.9000000E-02 -0.2928702E+04  0.3704277E+02
   0.9600000E-02  0.1325906E+09  0.4849585E+11  0.3432622E+01  0.1020000E-01 -0.2823995E+04  0.3704277E+02
   0.1080000E-01  0.1379551E+09  0.4920249E+11  0.3394356E+01  0.1140000E-01 -0.2717767E+04  0.3704277E+02
   0.1200000E-01  0.1437419E+09  0.4991525E+11  0.3354770E+01  0.1260000E-01 -0.2610005E+04  0.3704277E+02
   0.1320000E-01  0.1500249E+09  0.5063357E+11  0.3313841E+01  0.1380000E-01 -0.2500698E+04  0.3704277E+02
   0.1440000E-01  0.1569139E+09  0.5135684E+11  0.3271426E+01  0.1500000E-01 -0.2389837E+04  0.3704277E+02
   0.1560000E-01  0.1645785E+09  0.5208438E+11  0.3227283E+01  0.1620000E-01 -0.2277415E+04  0.3704277E+02
   0.1680000E-01  0.1732769E+09  0.5281549E+11  0.3181098E+01  0.1740000E-01 -0.2163425E+04  0.3704277E+02
   0.1800000E-01  0.1833787E+09  0.5354947E+11  0.3132552E+01  0.1860000E-01 -0.2047865E+04  0.3704277E+02
   0.1920000E-01  0.1953614E+09  0.5428561E+11  0.3081466E+01  0.1980000E-01 -0.1930733E+04  0.3704277E+02
   0.2040000E-01  0.2097631E+09  0.5502322E+11  0.3027967E+01  0.2100000E-01 -0.1812033E+04  0.3704277E+02
   0.2160000E-01  0.2270875E+09  0.5576164E+11  0.2972589E+01  0.2220000E-01 -0.1691768E+04  0.3704277E+02
   0.2280000E-01  0.2476881E+09  0.5650028E+11  0.2916184E+01  0.2340000E-01 -0.1569946E+04  0.3704277E+02
   0.2400000E-01  0.2716820E+09  0.5723859E+11  0.2859643E+01  0.2460000E-01 -0.1446573E+04  0.3704277E+02
   0.2520000E-01  0.2989504E+09  0.5797609E+11  0.2803557E+01  0.2580000E-01 -0.1321660E+04  0.3704277E+02
   0.2640000E-01  0.3292478E+09  0.5871240E+11  0.2748022E+01  0.2700000E-01 -0.1195215E+04  0.3704277E+02
   0.2760000E-01  0.3623936E+09  0.5944721E+11  0.2692681E+01  0.2820000E-01 -0.1067248E+04  0.3704277E+02
   0.2880000E-01  0.3984753E+09  0.6018035E+11  0.2636984E+01  0.2940000E-01 -0.9377690E+03  0.3704277E+02
   0.3000000E-01  0.4379973E+09  0.6091173E+11  0.2580537E+01  0.3060000E-01 -0.8067887E+03  0.3704277E+02
