   0.1200000E-02  0.1813031E+09  0.3033769E+10  0.1471083E+08  0.3019058E+10 -0.3016436E+03  0.2501598E+00
   0.2400000E-02  0.3124244E+09  0.3322513E+10  0.1485619E+08  0.3307657E+10 -0.2951350E+03  0.3069222E+00
   0.3600000E-02  0.4237390E+09  0.3408224E+10  0.1510596E+08  0.3393118E+10 -0.2886819E+03  0.3262923E+00
   0.4800000E-02  0.5246086E+09  0.3468298E+10  0.1541519E+08  0.3452883E+10 -0.2823173E+03  0.3327003E+00
   0.6000000E-02  0.6195390E+09  0.3526921E+10  0.1579648E+08  0.3511125E+10 -0.2760314E+03  0.3348397E+00
   0.7200000E-02  0.7107202E+09  0.3586589E+10  0.1626375E+08  0.3570325E+10 -0.2698140E+03  0.3354207E+00
   0.8400000E-02  0.7992866E+09  0.3647569E+10  0.1682952E+08  0.3630740E+10 -0.2636564E+03  0.3353110E+00
   0.9600000E-02  0.8858945E+09  0.3709924E+10  0.1750455E+08  0.3692420E+10 -0.2575514E+03  0.3348262E+00
   0.1080000E-01  0.9709803E+09  0.3773677E+10  0.1829758E+08  0.3755380E+10 -0.2514927E+03  0.3341079E+00
   0.1200000E-01  0.1054875E+10  0.3838832E+10  0.1921519E+08  0.3819617E+10 -0.2454746E+03  0.3332334E+00
   0.1320000E-01  0.1137858E+10  0.3905378E+10  0.2026167E+08  0.3885116E+10 -0.2394922E+03  0.3322498E+00
   0.1440000E-01  0.1220175E+10  0.3973289E+10  0.2143904E+08  0.3951850E+10 -0.2335410E+03  0.3311868E+00
   0.1560000E-01  0.1302054E+10  0.4042526E+10  0.2274701E+08  0.4019779E+10 -0.2276173E+03  0.3300634E+00
   0.1680000E-01  0.1383708E+10  0.4113042E+10  0.2418312E+08  0.4088859E+10 -0.2217178E+03  0.3288915E+00
   0.1800000E-01  0.1465335E+10  0.4184779E+10  0.2574280E+08  0.4159036E+10 -0.2158397E+03  0.3276788E+00
   0.1920000E-01  0.1547123E+10  0.4257670E+10  0.2741948E+08  0.4230251E+10 -0.2099809E+03  0.3264309E+00
   0.2040000E-01  0.1629247E+10  0.4331645E+10  0.2920481E+08  0.4302440E+10 -0.2041398E+03  0.3251525E+00
   0.2160000E-01  0.1711873E+10  0.4406626E+10  0.3108874E+08  0.4375537E+10 -0.1983152E+03  0.3238482E+00
   0.2280000E-01  0.1795155E+10  0.4482533E+10  0.3305973E+08  0.4449474E+10 -0.1925067E+03  0.3225223E+00
   0.2400000E-01  0.1879242E+10  0.4559287E+10  0.3510488E+08  0.4524182E+10 -0.1867141E+03  0.3211780E+00
   0.2520000E-01  0.1964275E+10  0.4636804E+10  0.3721012E+08  0.4599594E+10 -0.1809377E+03  0.3198177E+00
   0.2640000E-01  0.2050391E+10  0.4715006E+10  0.3936034E+08  0.4675646E+10 -0.1751786E+03  0.3184417E+00
   0.2760000E-01  0.2137724E+10  0.4793817E+10  0.4153961E+08  0.4752278E+10 -0.1694379E+03  0.3170492E+00
   0.2880000E-01  0.2226411E+10  0.4873166E+10  0.4373124E+08  0.4829435E+10 -0.1637175E+03  0.3156384E+00
   0.3000000E-01  0.2316589E+10  0.4952990E+10  0.4591804E+08  0.4907072E+10 -0.1580196E+03  0.3142079E+00
   0.3120000E-01  0.2408400E+10  0.5033232E+10  0.4808238E+08  0.4985150E+10 -0.1523468E+03  0.3127564E+00
   0.3240000E-01  0.2501989E+10  0.5113849E+10  0.5020638E+08  0.5063642E+10 -0.1467021E+03  0.3112836E+00
   0.3360000E-01  0.2597508E+10  0.5194807E+10  0.5227200E+08  0.5142535E+10 -0.1410890E+03  0.3097899E+00
   0.3480000E-01  0.2695117E+10  0.5276090E+10  0.5426121E+08  0.5221829E+10 -0.1355113E+03  0.3082759E+00
   0.3600000E-01  0.2794985E+10  0.5357696E+10  0.5615608E+08  0.5301540E+10 -0.1299732E+03  0.3067424E+00
   0.3720000E-01  0.2897293E+10  0.5439645E+10  0.5793889E+08  0.5381707E+10 -0.1244793E+03  0.3051902E+00
   0.3840000E-01  0.3002237E+10  0.5521980E+10  0.5959230E+08  0.5462388E+10 -0.1190344E+03  0.3036197E+00
   0.3960000E-01  0.3110032E+10  0.5604770E+10  0.6109940E+08  0.5543670E+10 -0.1136438E+03  0.3020312E+00
   0.4080000E-01  0.3220917E+10  0.5688115E+10  0.6244389E+08  0.5625671E+10 -0.1083130E+03  0.3004248E+00
   0.4200000E-01  0.3335155E+10  0.5772153E+10  0.6361015E+08  0.5708543E+10 -0.1030477E+03  0.2988005E+00
   0.4320000E-01  0.3453044E+10  0.5857062E+10  0.6458340E+08  0.5792479E+10 -0.9785387E+02  0.2971579E+00
   0.4440000E-01  0.3574919E+10  0.5943071E+10  0.6534985E+08  0.5877721E+10 -0.9273789E+02  0.2954965E+00
   0.4560000E-01  0.3701160E+10  0.6030466E+10  0.6589679E+08  0.5964569E+10 -0.8770619E+02  0.2938152E+00
   0.4680000E-01  0.3832204E+10  0.6119599E+10  0.6621280E+08  0.6053386E+10 -0.8276542E+02  0.2921123E+00
   0.4800000E-01  0.3968552E+10  0.6210903E+10  0.6628793E+08  0.6144615E+10 -0.7792237E+02  0.2903857E+00
   0.4920000E-01  0.4110784E+10  0.6304901E+10  0.6611388E+08  0.6238787E+10 -0.7318397E+02  0.2886315E+00
   0.5040000E-01  0.4259577E+10  0.6402227E+10  0.6568425E+08  0.6336543E+10 -0.6855722E+02  0.2868445E+00
   0.5160000E-01  0.4415732E+10  0.6503641E+10  0.6499479E+08  0.6438646E+10 -0.6404923E+02  0.2850161E+00
