   integer_node_x          Max_Ne          Max_Ni          Max_Te     half_node_x      Max_E(id2)       Max_J0/mA
   0.1200000E-02  0.1030987E+09  0.3928709E+11  0.2406177E+01  0.1800000E-02 -0.3250101E+04  0.3460043E+02
   0.2400000E-02  0.1063459E+09  0.3996822E+11  0.3149404E+01  0.3000000E-02 -0.3163838E+04  0.3460043E+02
   0.3600000E-02  0.1097553E+09  0.4059199E+11  0.3395683E+01  0.4200000E-02 -0.3076229E+04  0.3460043E+02
   0.4800000E-02  0.1133454E+09  0.4121602E+11  0.3450805E+01  0.5400000E-02 -0.2987274E+04  0.3460043E+02
   0.6000000E-02  0.1171380E+09  0.4184846E+11  0.3444735E+01  0.6600000E-02 -0.2896955E+04  0.3460043E+02
   0.7200000E-02  0.1211573E+09  0.4249041E+11  0.3419604E+01  0.7800000E-02 -0.2805253E+04  0.3460043E+02
   0.8400000E-02  0.1254309E+09  0.4314207E+11  0.3388117E+01  0.9000000E-02 -0.2712145E+04  0.3460043E+02
   0.9600000E-02  0.1299916E+09  0.4380342E+11  0.3354019E+01  0.1020000E-01 -0.2617613E+04  0.3460043E+02
   0.1080000E-01  0.1348795E+09  0.4447424E+11  0.3318372E+01  0.1140000E-01 -0.2521636E+04  0.3460043E+02
   0.1200000E-01  0.1401488E+09  0.4515423E+11  0.3281425E+01  0.1260000E-01 -0.2424196E+04  0.3460043E+02
   0.1320000E-01  0.1458785E+09  0.4584295E+11  0.3243141E+01  0.1380000E-01 -0.2325273E+04  0.3460043E+02
   0.1440000E-01  0.1521892E+09  0.4653989E+11  0.3203350E+01  0.1500000E-01 -0.2224852E+04  0.3460043E+02
   0.1560000E-01  0.1592642E+09  0.4724445E+11  0.3161800E+01  0.1620000E-01 -0.2122918E+04  0.3460043E+02
   0.1680000E-01  0.1673670E+09  0.4795601E+11  0.3118212E+01  0.1740000E-01 -0.2019458E+04  0.3460043E+02
   0.1800000E-01  0.1768416E+09  0.4867387E+11  0.3072389E+01  0.1860000E-01 -0.1914461E+04  0.3460043E+02
   0.1920000E-01  0.1880832E+09  0.4939735E+11  0.3024349E+01  0.1980000E-01 -0.1807919E+04  0.3460043E+02
   0.2040000E-01  0.2014730E+09  0.5012572E+11  0.2974436E+01  0.2100000E-01 -0.1699826E+04  0.3460043E+02
   0.2160000E-01  0.2172927E+09  0.5085828E+11  0.2923293E+01  0.2220000E-01 -0.1590178E+04  0.3460043E+02
   0.2280000E-01  0.2356528E+09  0.5159433E+11  0.2871682E+01  0.2340000E-01 -0.1478972E+04  0.3460043E+02
   0.2400000E-01  0.2564743E+09  0.5233323E+11  0.2820206E+01  0.2460000E-01 -0.1366209E+04  0.3460043E+02
   0.2520000E-01  0.2795472E+09  0.5307435E+11  0.2769090E+01  0.2580000E-01 -0.1251888E+04  0.3460043E+02
   0.2640000E-01  0.3046552E+09  0.5381713E+11  0.2718140E+01  0.2700000E-01 -0.1136010E+04  0.3460043E+02
   0.2760000E-01  0.3317226E+09  0.5456110E+11  0.2666882E+01  0.2820000E-01 -0.1018577E+04  0.3460043E+02
   0.2880000E-01  0.3609331E+09  0.5530583E+11  0.2614817E+01  0.2940000E-01 -0.8995917E+03  0.3460043E+02
   0.3000000E-01  0.3927873E+09  0.5605101E+11  0.2561693E+01  0.3060000E-01 -0.7790586E+03  0.3460043E+02
   0.3120000E-01  0.4281039E+09  0.5679643E+11  0.2507723E+01  0.3180000E-01 -0.6569850E+03  0.3460043E+02
   0.3240000E-01  0.4679974E+09  0.5754202E+11  0.2453770E+01  0.3300000E-01 -0.5333803E+03  0.3460043E+02
   0.3360000E-01  0.5138757E+09  0.5828781E+11  0.2401534E+01  0.3420000E-01 -0.4082572E+03  0.3460043E+02
   0.3480000E-01  0.5674979E+09  0.5903400E+11  0.2353871E+01  0.3540000E-01 -0.2816316E+03  0.3460043E+02
   0.3600000E-01  0.6311309E+09  0.5978096E+11  0.2315341E+01  0.3660000E-01 -0.1535235E+03  0.3460043E+02
   0.3720000E-01  0.7078861E+09  0.6052929E+11  0.2292990E+01  0.3780000E-01 -0.2395844E+02  0.3460043E+02
   0.3840000E-01  0.8024708E+09  0.6127996E+11  0.2296931E+01  0.3900000E-01  0.1070300E+03  0.3460043E+02
